pin_key,article_slug,pin_file,title,board,media_url,destination_url,publish_date,status,pinterest_url,notes
"narrow-trash-can-under-10-inches/pin-01","narrow-trash-can-under-10-inches","pin-01.png","Narrow Trash Can Under 10 Inches?","Narrow Kitchen Finds","https://doesitfithere.com/promo/narrow-trash-can-under-10-inches/pins/pin-01.png","https://doesitfithere.com/guides/narrow-kitchen/narrow-trash-can-under-10-inches/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=narrow-trash-can-under-10-inches-pin-01","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"narrow-trash-can-under-10-inches/pin-02","narrow-trash-can-under-10-inches","pin-02.png","The Inch That Ruins Slim Trash Cans","Narrow Kitchen Finds","https://doesitfithere.com/promo/narrow-trash-can-under-10-inches/pins/pin-02.png","https://doesitfithere.com/guides/narrow-kitchen/narrow-trash-can-under-10-inches/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=narrow-trash-can-under-10-inches-pin-02","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"narrow-trash-can-under-10-inches/pin-03","narrow-trash-can-under-10-inches","pin-03.png","Fits If / Skip If: Slim Trash Cans","Narrow Kitchen Finds","https://doesitfithere.com/promo/narrow-trash-can-under-10-inches/pins/pin-03.png","https://doesitfithere.com/guides/narrow-kitchen/narrow-trash-can-under-10-inches/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=narrow-trash-can-under-10-inches-pin-03","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"nightstand-under-12-inches-wide/pin-01","nightstand-under-12-inches-wide","pin-01.png","Nightstand Under 12 Inches Wide","Small Bedroom Furniture","https://doesitfithere.com/promo/nightstand-under-12-inches-wide/pins/pin-01.png","https://doesitfithere.com/guides/bedroom-tight-spaces/nightstand-under-12-inches-wide/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=nightstand-under-12-inches-wide-pin-01","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"nightstand-under-12-inches-wide/pin-02","nightstand-under-12-inches-wide","pin-02.png","No Room For A Nightstand?","Small Bedroom Furniture","https://doesitfithere.com/promo/nightstand-under-12-inches-wide/pins/pin-02.png","https://doesitfithere.com/guides/bedroom-tight-spaces/nightstand-under-12-inches-wide/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=nightstand-under-12-inches-wide-pin-02","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"nightstand-under-12-inches-wide/pin-03","nightstand-under-12-inches-wide","pin-03.png","Do Not Block The Outlet","Small Bedroom Furniture","https://doesitfithere.com/promo/nightstand-under-12-inches-wide/pins/pin-03.png","https://doesitfithere.com/guides/bedroom-tight-spaces/nightstand-under-12-inches-wide/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=nightstand-under-12-inches-wide-pin-03","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"under-sink-organizer-around-pipes/pin-01","under-sink-organizer-around-pipes","pin-01.png","Under Sink Organizer Around Pipes","Under Sink Storage Ideas","https://doesitfithere.com/promo/under-sink-organizer-around-pipes/pins/pin-01.png","https://doesitfithere.com/guides/under-sink-cabinets/under-sink-organizer-around-pipes/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=under-sink-organizer-around-pipes-pin-01","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"under-sink-organizer-around-pipes/pin-02","under-sink-organizer-around-pipes","pin-02.png","Why Under-Sink Drawers Fail","Under Sink Storage Ideas","https://doesitfithere.com/promo/under-sink-organizer-around-pipes/pins/pin-02.png","https://doesitfithere.com/guides/under-sink-cabinets/under-sink-organizer-around-pipes/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=under-sink-organizer-around-pipes-pin-02","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"under-sink-organizer-around-pipes/pin-03","under-sink-organizer-around-pipes","pin-03.png","Fits If / Skip If: Sink Storage","Under Sink Storage Ideas","https://doesitfithere.com/promo/under-sink-organizer-around-pipes/pins/pin-03.png","https://doesitfithere.com/guides/under-sink-cabinets/under-sink-organizer-around-pipes/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=under-sink-organizer-around-pipes-pin-03","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"shoe-rack-for-narrow-entryway/pin-01","shoe-rack-for-narrow-entryway","pin-01.png","Shoe Rack For Narrow Entryway","Small Spaces That Actually Fit","https://doesitfithere.com/promo/shoe-rack-for-narrow-entryway/pins/pin-01.png","https://doesitfithere.com/guides/entryway-shoes/shoe-rack-for-narrow-entryway/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=shoe-rack-for-narrow-entryway-pin-01","2026-08-06T15:00:00","exported","","Included in pinterest-upload-scheduled.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
